sample_idx,organism,predicted_EC50_uM,fold_error,ec50_factors,max_factors
32,worm,227.9523558732297,1.4915397504778716,1.014|0.756|1.465|0.585|0.871|0.678|0.685|1.411,1.246|0.914|0.565|0.997|0.674|1.073|1.001|1.013
33,worm,388.51268519612074,1.1426843682238845,1.407|0.790|0.837|0.730|1.500|0.580|0.536|0.906,0.886|1.012|1.085|1.327|1.357|0.554|1.285|0.911
34,worm,321.9539136580621,1.0560517688289515,1.361|1.356|0.996|1.242|0.973|1.176|0.836|1.355,1.471|1.500|0.811|0.801|0.880|0.746|0.906|0.785
35,worm,419.855316202708,1.2348685770667882,0.716|1.371|1.123|1.236|1.468|1.077|0.755|1.474,1.440|1.214|1.304|1.171|1.117|1.331|1.380|1.384
36,worm,337.7824311312963,1.0065650805498576,0.888|0.597|0.960|1.261|0.968|0.566|0.667|1.217,1.497|1.122|0.942|0.522|1.285|1.085|1.424|0.839
37,worm,170.54056513554676,1.9936605682628399,1.202|1.482|0.757|0.696|0.632|1.117|0.603|0.844,1.167|0.870|1.419|1.443|0.564|1.379|0.834|0.537
38,worm,388.71154918763943,1.1432692623165865,0.513|0.603|0.645|1.331|0.952|0.809|0.914|1.115,1.342|0.966|0.536|0.512|1.445|0.700|0.826|0.900
39,worm,337.7824311312963,1.0065650805498576,0.723|0.687|0.662|0.741|0.857|0.982|0.817|1.087,0.503|0.898|1.430|1.496|1.400|1.411|1.292|0.590
40,worm,269.07258010972004,1.2635995829131226,1.088|0.814|1.213|0.813|1.488|0.506|0.505|0.971,1.098|1.475|0.755|1.221|0.712|1.429|1.128|1.110
41,worm,392.06225330997,1.1531242744410883,0.525|1.004|1.099|1.466|1.370|0.538|1.290|1.336,1.216|0.927|1.122|1.085|1.230|0.791|0.803|0.689
42,worm,518.2514446135714,1.5242689547457982,1.492|1.081|0.654|1.455|1.445|1.485|1.199|1.196,0.725|0.815|1.460|0.850|1.345|0.542|0.532|0.777
43,worm,276.4280564142341,1.2299764517770289,0.680|1.440|1.009|1.327|1.101|1.346|1.080|1.147,1.460|0.750|0.732|0.943|0.664|0.878|1.052|1.297
44,worm,404.98321894698853,1.1911271145499662,1.301|1.341|0.848|1.038|1.080|0.819|1.250|1.403,0.947|1.042|1.141|1.236|1.252|0.598|1.163|1.495
45,worm,275.36508989314717,1.2347244167077744,0.891|1.021|1.142|1.422|1.174|1.378|0.736|1.464,0.541|0.679|1.090|0.736|0.597|0.670|0.706|0.970
46,worm,248.43183060277318,1.3685846905167258,1.139|0.959|0.542|1.344|0.899|1.096|1.366|1.342,0.689|1.105|0.865|0.962|0.609|1.110|0.860|0.842
47,worm,303.6295916359941,1.1197854536115457,0.548|0.587|0.951|0.880|0.645|1.281|0.922|1.433,0.866|1.052|1.322|0.750|1.212|0.626|1.306|0.639
48,worm,385.7571935140749,1.1345799809237498,1.331|1.130|0.777|1.191|1.057|1.417|1.465|0.966,0.592|1.130|1.314|0.556|1.061|1.486|1.231|1.363
49,worm,369.0953289245895,1.085574496837028,1.387|1.393|1.233|0.822|1.391|1.187|0.789|0.649,1.112|1.190|1.349|1.060|1.033|1.092|1.473|1.313
50,worm,343.63673478011253,1.0106962787650369,1.473|1.064|0.921|1.140|0.697|0.527|0.869|0.877,1.000|1.255|1.491|0.751|1.326|1.237|1.459|1.027
51,worm,265.6502110557926,1.2798785239007102,0.866|1.232|0.604|1.273|0.651|0.631|0.985|0.698,0.652|1.422|1.233|1.142|1.081|0.753|1.207|1.486
52,worm,358.81877388062367,1.0553493349430108,1.231|1.261|0.740|1.030|1.030|0.950|1.012|0.861,1.261|0.587|0.834|0.571|1.175|0.908|0.622|0.730
53,worm,276.7273430451035,1.2286462055344627,1.097|1.080|1.278|1.409|0.882|0.627|1.061|0.898,0.775|0.887|1.446|0.716|0.877|1.027|0.955|0.806
54,worm,270.7425213567062,1.2558056942671605,0.848|1.308|1.473|1.010|0.934|0.997|1.249|1.285,1.069|1.170|0.655|0.988|0.751|0.998|1.114|1.445
55,worm,267.4752040165165,1.2711458665865907,1.266|0.749|1.252|0.840|0.793|1.055|1.381|0.860,0.619|0.599|1.451|1.335|0.898|0.774|0.916|1.185
56,worm,174.69981115898716,1.9461955782572649,0.575|1.244|1.308|0.977|0.716|0.839|0.579|0.600,0.857|0.953|1.475|1.348|0.518|0.581|1.437|0.619
57,worm,284.6921099564345,1.1942726479213952,1.157|0.904|1.199|0.929|1.258|1.420|1.370|0.523,0.571|0.697|1.482|0.507|0.694|0.574|0.648|0.651
58,worm,249.04317036942706,1.3652251515094709,1.253|1.298|0.578|1.086|0.562|0.821|0.886|0.942,0.641|0.821|0.596|1.319|0.953|1.448|0.945|1.147
59,worm,296.1552071992655,1.1480466719304852,0.592|1.279|0.857|1.311|1.440|0.872|0.562|0.626,1.000|1.449|0.519|1.094|0.763|1.109|0.929|0.995
60,worm,293.5517390941069,1.1582285325552193,0.708|0.972|0.580|0.510|0.843|0.705|1.319|0.999,1.124|1.351|1.114|1.183|1.299|0.922|1.482|1.396
61,worm,278.6458267350332,1.220186944781732,1.107|1.478|1.319|1.288|0.817|1.223|0.679|1.397,1.184|1.376|0.718|0.960|0.800|1.063|0.615|0.588
62,worm,414.7924878440248,1.2199779054236022,0.919|1.383|1.392|0.877|1.137|0.863|1.187|0.913,0.750|0.706|1.024|0.649|1.335|0.529|1.340|1.336
63,worm,409.107698320396,1.2032579362364588,0.658|0.948|0.900|1.167|1.286|1.471|1.491|1.278,0.522|1.317|1.372|1.248|1.143|1.125|1.110|0.667
64,worm,203.5848654355376,1.6700652048600164,0.786|0.706|1.174|1.101|0.730|0.919|0.771|0.665,0.805|1.162|1.265|1.010|0.622|0.856|1.133|1.341
65,worm,320.127400576318,1.0620771586184308,0.675|0.522|0.920|1.253|1.409|0.977|1.433|1.123,1.482|0.799|0.930|0.657|0.867|1.312|0.658|1.419
66,worm,233.63643172716928,1.4552524941702483,1.416|0.837|0.557|0.632|0.762|1.154|0.642|0.718,1.012|0.555|0.917|1.031|0.924|0.810|0.514|0.754
67,worm,269.18459007776187,1.2630737885173182,1.343|0.964|1.059|0.668|0.740|1.459|1.309|1.422,0.514|1.275|1.244|1.413|0.901|1.255|1.180|0.988
68,worm,315.136284430439,1.0788982951122192,0.619|0.798|0.687|1.064|0.801|1.070|1.430|0.747,1.404|1.450|1.020|1.160|1.203|0.637|1.248|1.287
69,worm,311.3751677209286,1.0919303632611017,0.943|1.137|0.935|0.645|1.374|1.296|1.154|1.323,0.661|0.603|1.199|0.606|0.784|0.980|1.408|0.628
70,worm,227.19865371232726,1.4964877407702368,1.194|1.195|1.355|0.543|0.989|0.903|0.710|0.709,0.989|1.384|1.007|1.119|0.538|0.699|0.758|1.124
71,worm,220.7593278441011,1.5401387715770993,1.031|1.202|0.718|0.995|0.680|0.695|0.953|1.250,1.077|0.870|1.211|0.911|0.749|0.567|0.540|0.570
72,worm,436.47536202641095,1.2837510647835617,0.697|1.162|1.289|0.861|0.728|1.261|1.106|1.365,1.230|0.978|0.766|0.536|1.457|1.004|1.031|1.325
73,worm,253.14060028857187,1.343127098586364,0.584|0.876|1.444|0.780|0.831|1.252|0.799|1.387,1.029|0.718|0.958|1.103|0.823|1.167|0.577|0.647
74,worm,246.49223504685645,1.3793537956088895,0.503|1.329|0.536|1.474|1.074|1.017|1.450|0.770,0.739|1.339|1.272|1.390|0.505|1.381|0.506|1.055
75,worm,244.98037117317543,1.3878662946414415,0.663|0.865|1.018|0.517|1.046|0.773|1.231|1.064,0.939|1.232|1.133|0.920|0.812|0.843|1.212|0.721
76,worm,418.33001326703777,1.2303823919618757,0.921|1.211|1.163|0.965|1.152|1.498|1.398|1.013,1.450|0.734|0.776|0.869|1.188|1.356|0.748|1.460
77,worm,182.5663721936266,1.8623363980711747,0.995|0.678|1.062|0.850|0.663|1.407|1.488|0.777,0.835|0.852|0.557|1.041|0.554|1.031|0.885|1.173
78,worm,368.29590984947845,1.0832232642631718,0.856|0.613|0.766|1.156|0.779|0.964|1.406|0.781,0.925|1.464|0.612|0.724|1.385|1.249|1.446|0.946
79,worm,233.44535984833726,1.4564435987114426,1.145|0.768|1.433|1.485|0.918|0.722|0.722|1.007,1.258|0.577|1.160|0.567|0.521|1.155|0.736|0.826
80,worm,337.7824311312963,1.0065650805498576,0.969|1.056|0.591|1.129|1.205|0.764|0.905|0.931,1.050|0.943|0.898|0.630|1.134|0.642|1.020|0.928
81,worm,273.9926406982105,1.2409092416992813,1.484|1.104|0.807|0.535|0.575|1.037|1.076|1.317,0.912|0.782|1.351|1.289|1.152|0.882|0.876|1.372
82,worm,340.9381779196385,1.0027593468224663,1.172|0.531|1.107|0.682|1.128|0.755|1.341|0.590,0.585|0.507|0.526|0.699|1.317|0.976|1.153|1.096
