organism,subset,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,k2p_potentiation,350.0,219,0.0,20.794270833333332,6.518611111111111
worm,k2p_potentiation,350.0,331,0.0,19.997395833333332,6.2501388888888885
worm,k2p_potentiation,350.0,443,0.0,21.1953125,6.57125
worm,k2p_potentiation,500.0,42,0.0,20.018229166666668,6.220972222222223
worm,k2p_potentiation,500.0,137,0.0,19.005208333333332,5.958055555555555
worm,k2p_potentiation,500.0,219,0.0,20.252604166666668,6.36125
worm,complex_i_block,10.0,42,0.0,23.416666666666668,7.325277777777778
worm,complex_i_block,10.0,137,0.0,22.393229166666668,7.0818055555555555
worm,complex_i_block,10.0,219,0.0,23.177083333333332,7.302777777777778
worm,complex_i_block,10.0,331,0.0,22.802083333333332,7.16625
worm,complex_i_block,10.0,443,0.0,23.565104166666668,7.389305555555556
worm,complex_i_block,30.0,42,0.0,22.661458333333332,7.076805555555556
worm,complex_i_block,30.0,137,0.0,21.786458333333332,6.855277777777777
worm,complex_i_block,30.0,219,0.0,22.403645833333332,7.049166666666666
worm,complex_i_block,100.0,219,0.0,20.794270833333332,6.5152777777777775
worm,complex_i_block,100.0,331,0.0,19.973958333333332,6.24125
worm,complex_i_block,100.0,443,0.0,21.135416666666668,6.555694444444445
worm,complex_i_block,200.0,42,0.0,18.640625,5.78375
worm,complex_i_block,30.0,331,0.0,22.067708333333332,6.926666666666667
worm,complex_i_block,30.0,443,0.0,22.747395833333332,7.134444444444444
worm,complex_i_block,100.0,42,0.0,20.255208333333332,6.3029166666666665
worm,complex_i_block,100.0,137,0.0,19.309895833333332,6.079027777777778
worm,complex_i_block,200.0,137,0.0,17.864583333333332,5.5881944444444445
worm,complex_i_block,200.0,219,0.0,18.9453125,5.924722222222222
worm,complex_i_block,200.0,331,0.0,18.453125,5.756666666666667
worm,complex_i_block,200.0,443,0.0,18.635416666666668,5.8025
worm,complex_i_block,500.0,331,0.0,15.765625,4.909166666666667
worm,complex_i_block,500.0,443,0.0,16.0703125,4.978055555555556
worm,complex_i_block,1000.0,42,0.0,15.325520833333334,4.718194444444444
worm,complex_i_block,1000.0,137,0.0,14.434895833333334,4.472916666666666
worm,snare_cooperativity,10.0,42,0.0,22.971354166666668,7.162361111111111
worm,snare_cooperativity,10.0,137,0.0,22.276041666666668,7.019027777777778
worm,snare_cooperativity,10.0,219,0.0,22.859375,7.191666666666666
worm,snare_cooperativity,10.0,331,0.0,22.9296875,7.170555555555556
worm,complex_i_block,350.0,443,0.0,17.203125,5.322777777777778
worm,complex_i_block,500.0,42,0.0,16.666666666666668,5.129166666666666
worm,complex_i_block,500.0,137,0.0,15.684895833333334,4.876388888888889
worm,complex_i_block,500.0,219,0.0,17.052083333333332,5.267916666666666
worm,complex_i_block,350.0,42,0.0,17.40625,5.385277777777778
worm,complex_i_block,350.0,137,0.0,16.552083333333332,5.167222222222223
worm,complex_i_block,350.0,219,0.0,17.7421875,5.523194444444444
worm,complex_i_block,350.0,331,0.0,16.575520833333332,5.162222222222222
worm,complex_i_block,3000.0,137,0.0,13.338541666666666,4.130972222222222
worm,complex_i_block,3000.0,219,0.0,14.458333333333334,4.445277777777778
worm,complex_i_block,3000.0,331,0.0,13.669270833333334,4.239305555555555
worm,complex_i_block,3000.0,443,0.0,14.174479166666666,4.352777777777778
worm,complex_i_block,1000.0,219,0.0,15.682291666666666,4.823888888888889
worm,complex_i_block,1000.0,331,0.0,14.666666666666666,4.560555555555555
worm,complex_i_block,1000.0,443,0.0,15.122395833333334,4.661111111111111
worm,complex_i_block,3000.0,42,0.0,14.265625,4.379444444444444
worm,snare_cooperativity,10.0,443,0.0,23.791666666666668,7.4255555555555555
worm,snare_cooperativity,30.0,42,0.0,21.885416666666668,6.761111111111111
worm,snare_cooperativity,30.0,137,0.0,21.244791666666668,6.636111111111111
worm,snare_cooperativity,30.0,219,0.0,22.466145833333332,6.972916666666666
worm,snare_cooperativity,30.0,331,0.0,21.734375,6.714444444444444
worm,snare_cooperativity,30.0,443,0.0,22.096354166666668,6.8429166666666665
worm,snare_cooperativity,100.0,42,0.0,19.208333333333332,5.750972222222222
worm,snare_cooperativity,100.0,137,0.0,17.885416666666668,5.457361111111111
worm,snare_cooperativity,100.0,219,0.0,18.419270833333332,5.56625
worm,snare_cooperativity,100.0,331,0.0,18.8828125,5.67
worm,snare_cooperativity,100.0,443,0.0,18.979166666666668,5.722083333333333
worm,snare_cooperativity,200.0,42,0.0,15.791666666666666,4.6002777777777775
worm,snare_cooperativity,200.0,137,0.0,15.125,4.476666666666667
worm,snare_cooperativity,200.0,219,0.0,15.645833333333334,4.5925
worm,snare_cooperativity,200.0,331,0.0,15.2734375,4.495555555555556
worm,snare_cooperativity,200.0,443,0.0,15.515625,4.560972222222222
worm,snare_cooperativity,350.0,42,0.0,12.942708333333334,3.6743055555555557
worm,snare_cooperativity,350.0,137,0.0,12.151041666666666,3.5058333333333334
worm,snare_cooperativity,350.0,219,0.0,13.013020833333334,3.7370833333333335
worm,snare_cooperativity,350.0,331,0.0,12.520833333333334,3.5825
worm,snare_cooperativity,350.0,443,0.0,12.471354166666666,3.6206944444444447
worm,snare_cooperativity,500.0,42,0.0,10.986979166666666,3.0919444444444446
worm,snare_cooperativity,500.0,137,0.0,10.440104166666666,3.0123611111111113
worm,snare_cooperativity,500.0,219,0.0,11.416666666666666,3.2169444444444446
worm,snare_cooperativity,500.0,331,0.0,11.002604166666666,3.0952777777777776
worm,snare_cooperativity,500.0,443,0.0,10.815104166666666,3.1169444444444445
worm,snare_cooperativity,1000.0,42,0.0,8.40625,2.3604166666666666
worm,snare_cooperativity,1000.0,137,0.041666666666666664,7.833333333333333,2.2819444444444446
worm,snare_cooperativity,3000.0,137,0.041666666666666664,5.825520833333333,1.7561111111111112
worm,snare_cooperativity,3000.0,219,0.020833333333333332,6.299479166666667,1.8677777777777778
worm,snare_cooperativity,3000.0,331,0.020833333333333332,6.203125,1.808888888888889
worm,snare_cooperativity,3000.0,443,0.041666666666666664,6.138020833333333,1.822638888888889
worm,snare_cooperativity,1000.0,219,0.0,8.591145833333334,2.4359722222222224
worm,snare_cooperativity,1000.0,331,0.0,8.494791666666666,2.3848611111111113
worm,snare_cooperativity,1000.0,443,0.0,8.203125,2.3568055555555554
worm,snare_cooperativity,3000.0,42,0.0625,6.169270833333333,1.8040277777777778
worm,nca_block,10.0,443,0.0,23.901041666666668,7.497222222222222
worm,nca_block,30.0,42,0.0,23.182291666666668,7.244861111111111
worm,nca_block,30.0,137,0.0,22.2734375,7.025416666666667
worm,nca_block,30.0,219,0.0,23.119791666666668,7.276111111111111
worm,nca_block,10.0,42,0.0,23.390625,7.333888888888889
worm,nca_block,10.0,137,0.0,22.4921875,7.1194444444444445
worm,nca_block,10.0,219,0.0,23.2421875,7.325555555555556
worm,nca_block,10.0,331,0.0,23.190104166666668,7.288055555555555
worm,nca_block,30.0,331,0.0,22.528645833333332,7.0744444444444445
worm,nca_block,30.0,443,0.0,23.283854166666668,7.302638888888889
worm,nca_block,100.0,42,0.0,22.1015625,6.895416666666667
worm,nca_block,100.0,137,0.0,20.778645833333332,6.559861111111111
worm,nca_block,200.0,137,0.0,19.489583333333332,6.15
worm,nca_block,200.0,219,0.0,21.0078125,6.580694444444444
worm,nca_block,200.0,331,0.0,20.309895833333332,6.349861111111111
worm,nca_block,200.0,443,0.0,21.203125,6.600694444444445
worm,nca_block,350.0,42,0.0,19.838541666666668,6.144027777777778
worm,nca_block,350.0,137,0.0,18.776041666666668,5.884722222222222
worm,nca_block,350.0,219,0.0,20.205729166666668,6.328194444444445
worm,nca_block,350.0,331,0.0,19.190104166666668,6.001666666666667
worm,nca_block,100.0,219,0.0,21.791666666666668,6.847777777777778
worm,nca_block,100.0,331,0.0,21.255208333333332,6.663055555555555
worm,nca_block,100.0,443,0.0,22.083333333333332,6.924444444444444
worm,nca_block,200.0,42,0.0,20.640625,6.42375
worm,nca_block,500.0,331,0.0,18.6796875,5.834583333333334
worm,nca_block,500.0,443,0.0,19.309895833333332,6.013472222222222
worm,nca_block,1000.0,42,0.0,17.833333333333332,5.529305555555555
worm,nca_block,1000.0,137,0.0,17.205729166666668,5.368194444444445
worm,nca_block,350.0,443,0.0,20.104166666666668,6.253055555555555
worm,nca_block,500.0,42,0.0,19.315104166666668,5.985833333333333
worm,nca_block,500.0,137,0.0,17.934895833333332,5.637083333333333
worm,nca_block,500.0,219,0.0,19.419270833333332,6.082361111111111
worm,nca_block,1000.0,219,0.0,18.6015625,5.808333333333334
worm,nca_block,1000.0,331,0.0,17.575520833333332,5.473055555555556
worm,nca_block,1000.0,443,0.0,18.291666666666668,5.684583333333333
worm,nca_block,3000.0,42,0.0,17.296875,5.344027777777778
worm,nachr_antagonism,10.0,42,0.0,23.380208333333332,7.329166666666667
worm,nachr_antagonism,10.0,137,0.0,22.661458333333332,7.168888888888889
worm,nachr_antagonism,10.0,219,0.0,23.294270833333332,7.334722222222222
worm,nachr_antagonism,10.0,331,0.0,23.192708333333332,7.291388888888889
worm,nca_block,3000.0,137,0.0,16.481770833333332,5.13625
worm,nca_block,3000.0,219,0.0,17.658854166666668,5.492916666666667
worm,nca_block,3000.0,331,0.0,16.489583333333332,5.131388888888889
worm,nca_block,3000.0,443,0.0,17.052083333333332,5.273611111111111
worm,nachr_antagonism,100.0,219,0.0,22.294270833333332,7.001805555555555
worm,nachr_antagonism,100.0,331,0.0,21.684895833333332,6.7995833333333335
worm,nachr_antagonism,100.0,443,0.0,22.763020833333332,7.122916666666667
worm,nachr_antagonism,200.0,42,0.0,21.479166666666668,6.685972222222222
worm,nachr_antagonism,10.0,443,0.0,23.940104166666668,7.5025
worm,nachr_antagonism,30.0,42,0.0,23.25,7.271111111111111
worm,nachr_antagonism,30.0,137,0.0,22.270833333333332,7.044305555555556
worm,nachr_antagonism,30.0,219,0.0,23.09375,7.273611111111111
worm,nachr_antagonism,350.0,42,0.0,20.5234375,6.3838888888888885
worm,nachr_antagonism,350.0,137,0.0,19.481770833333332,6.13625
worm,nachr_antagonism,350.0,219,0.0,20.953125,6.5616666666666665
worm,nachr_antagonism,350.0,331,0.0,20.216145833333332,6.315138888888889
worm,nachr_antagonism,30.0,331,0.0,22.5703125,7.095
worm,nachr_antagonism,30.0,443,0.0,23.388020833333332,7.339722222222222
worm,nachr_antagonism,100.0,42,0.0,22.385416666666668,6.9927777777777775
worm,nachr_antagonism,100.0,137,0.0,21.322916666666668,6.733055555555556
worm,nachr_antagonism,350.0,443,0.0,21.1796875,6.578888888888889
worm,nachr_antagonism,500.0,42,0.0,20.184895833333332,6.273472222222222
worm,nachr_antagonism,500.0,137,0.0,19.21875,6.029444444444445
worm,nachr_antagonism,500.0,219,0.0,20.361979166666668,6.392777777777778
worm,nachr_antagonism,200.0,137,0.0,19.940104166666668,6.315277777777778
worm,nachr_antagonism,200.0,219,0.0,21.46875,6.739166666666667
worm,nachr_antagonism,200.0,331,0.0,20.854166666666668,6.532916666666667
worm,nachr_antagonism,200.0,443,0.0,21.856770833333332,6.8213888888888885
worm,nachr_antagonism,500.0,331,0.0,19.645833333333332,6.149444444444445
