organism,subset,anesthetic,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,10.0,137,0.0,21.395833333333332,6.731944444444444
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,10.0,219,0.0,22.328125,6.9870833333333335
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,10.0,331,0.0,21.71875,6.776527777777778
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,10.0,443,0.0,22.546875,7.025972222222222
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,42,0.0,19.25,5.928055555555556
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,137,0.0,18.2421875,5.683333333333334
worm,gaba_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,219,0.0,19.7265625,6.08875
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,331,0.0,19.0234375,5.85625
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,443,0.0,19.736979166666668,6.056111111111111
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,42,0.0,12.661458333333334,3.747638888888889
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,137,0.0,11.7109375,3.5283333333333333
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,137,0.020833333333333332,7.734375,2.230277777777778
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,219,0.020833333333333332,8.205729166666666,2.363611111111111
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,331,0.020833333333333332,8.5390625,2.4208333333333334
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,443,0.041666666666666664,8.375,2.3880555555555554
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,219,0.0,12.596354166666666,3.7405555555555554
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,331,0.0,12.369791666666666,3.7080555555555557
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,443,0.0,12.768229166666666,3.7794444444444446
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,42,0.0,8.28125,2.355
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,42,0.041666666666666664,6.145833333333333,1.707638888888889
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,137,0.0625,5.833333333333333,1.666111111111111
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,219,0.08333333333333333,6.252604166666667,1.781111111111111
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,331,0.0625,6.106770833333333,1.7093055555555556
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,200.0,137,0.041666666666666664,7.8203125,2.2602777777777776
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,200.0,219,0.020833333333333332,8.440104166666666,2.4295833333333334
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,200.0,331,0.020833333333333332,8.7421875,2.481527777777778
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,200.0,443,0.020833333333333332,8.510416666666666,2.4277777777777776
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,290.0,443,0.08333333333333333,5.736979166666667,1.6616666666666666
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,500.0,42,0.2708333333333333,4.127604166666667,1.13125
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,500.0,137,0.3958333333333333,3.8723958333333335,1.107361111111111
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,500.0,219,0.25,4.065104166666667,1.1577777777777778
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,500.0,331,0.25,4.278645833333333,1.17625
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,500.0,443,0.4166666666666667,3.6354166666666665,1.063611111111111
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,1000.0,42,0.6666666666666666,2.4817708333333335,0.7172222222222222
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,1000.0,137,0.6875,2.3411458333333335,0.6977777777777778
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,290.0,42,0.020833333333333332,6.307291666666667,1.7520833333333334
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,290.0,137,0.0625,6.0078125,1.7152777777777777
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,290.0,219,0.08333333333333333,6.3125,1.8054166666666667
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,290.0,331,0.0625,6.231770833333333,1.7494444444444444
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,443,0.08333333333333333,5.744791666666667,1.6601388888888888
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,42,0.2708333333333333,4.0859375,1.1145833333333333
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,137,0.4166666666666667,3.7526041666666665,1.0781944444444445
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,219,0.2708333333333333,4.005208333333333,1.1388888888888888
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,331,0.2708333333333333,4.2421875,1.1619444444444444
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,443,0.4375,3.53125,1.0383333333333333
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,42,0.6666666666666666,2.4453125,0.7080555555555555
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,137,0.6875,2.2578125,0.6802777777777778
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,219,0.6666666666666666,2.5234375,0.7311111111111112
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,331,0.75,2.5390625,0.7269444444444444
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,443,0.875,1.78125,0.6161111111111112
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,42,0.9166666666666666,1.5026041666666667,0.4940277777777778
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,10.0,42,0.0,22.200520833333332,6.8886111111111115
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,10.0,137,0.0,21.395833333333332,6.731944444444444
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,10.0,219,0.0,22.328125,6.9870833333333335
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,10.0,331,0.0,21.71875,6.776527777777778
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,10.0,443,0.0,22.546875,7.025972222222222
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,30.0,42,0.0,19.25,5.928055555555556
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,30.0,137,0.0,18.2421875,5.683333333333334
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,30.0,219,0.0,19.7265625,6.08875
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,30.0,331,0.0,19.106770833333332,5.889444444444444
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,30.0,443,0.0,19.84375,6.089444444444444
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,100.0,42,0.0,12.950520833333334,3.831111111111111
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,100.0,137,0.0,11.859375,3.5644444444444443
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,137,0.9791666666666666,1.25,0.4513888888888889
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,219,0.8125,1.7239583333333333,0.5330555555555555
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,331,0.9166666666666666,1.6276041666666667,0.5022222222222222
worm,k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,443,1.0,1.0026041666666667,0.42527777777777775
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,100.0,219,0.0,12.791666666666666,3.8109722222222224
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,100.0,331,0.0,12.705729166666666,3.7934722222222224
worm,complex_i_block|snare_cooperativity|nca_block|nachr_antagonism,isoflurane,100.0,443,0.0,13.028645833333334,3.8531944444444446
