organism,subset,compound,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,30.0,137,0.0,21.140625,6.668055555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,30.0,219,0.0,22.127604166666668,6.929305555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,30.0,331,0.0,21.565104166666668,6.748611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,100.0,42,0.0,23.408854166666668,7.336111111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,100.0,137,0.0,22.661458333333332,7.169305555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,100.0,219,0.0,23.307291666666668,7.336805555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,100.0,331,0.0,23.223958333333332,7.300416666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,1000.0,137,0.10416666666666667,5.700520833333333,1.62125
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,1000.0,219,0.0625,6.0859375,1.7261111111111112
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,1000.0,331,0.08333333333333333,5.940104166666667,1.6754166666666668
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,1000.0,443,0.125,5.440104166666667,1.5790277777777777
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,3000.0,42,0.5416666666666666,2.8411458333333335,0.7816666666666666
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,3000.0,137,0.6458333333333334,2.5052083333333335,0.7222222222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,3000.0,219,0.5,3.1067708333333335,0.8508333333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,cis_12_dichloroethylene,3000.0,331,0.4166666666666667,3.1302083333333335,0.8461111111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,1000.0,219,0.0,22.3046875,7.011388888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,1000.0,331,0.0,21.885416666666668,6.861944444444444
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,1000.0,443,0.0,22.747395833333332,7.124444444444444
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,3000.0,42,0.0,20.986979166666668,6.518611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,300.0,331,0.0,22.690104166666668,7.126666666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,300.0,443,0.0,23.567708333333332,7.38625
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,1000.0,42,0.0,22.46875,7.0193055555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,1000.0,137,0.0,21.510416666666668,6.783055555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,3000.0,137,0.0,19.677083333333332,6.2098611111111115
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,3000.0,219,0.0,21.1171875,6.628611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,3000.0,331,0.0,20.541666666666668,6.42125
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,3000.0,443,0.0,21.4296875,6.6738888888888885
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,trans_12_dichloroethylene,10000.0,42,0.0,19.377604166666668,6.0008333333333335
