match_level,ensemble_id,organism,n_active,active_classes,predicted_EC50_uM,published_EC50_uM,fold_error
1,0,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,1,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,513.250790355705,340.0,1.5095611481050148
1,2,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,3,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,4,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,533.1423133409188,340.0,1.5680656274732907
1,5,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,6,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,1335.2365898580767,340.0,3.9271664407590494
1,7,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,8,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,764.4531537515052,340.0,2.2483916286808974
1,9,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,366.30492906315646,340.0,1.0773674384210483
1,10,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,11,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,12,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,197.94157002130035,340.0,1.7176786056784983
1,13,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,14,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,15,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,16,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,982.3840036712642,340.0,2.8893647166801886
1,17,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,18,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,852.7946368579504,340.0,2.5082195201704423
1,19,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,20,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,454.85562098143885,340.0,1.3378106499454083
1,21,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,22,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,23,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,24,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,1942.0515695907309,340.0,5.711916381149209
1,25,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,26,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,27,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,28,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,29,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,30,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,31,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
1,32,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,905.7236642639062,340.0,2.6638931301879594
1,33,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
