match_level,ensemble_id,organism,n_active,active_classes,predicted_EC50_uM,published_EC50_uM,fold_error
2,32,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,33,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,34,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,280.34375565265617,340.0,1.2127967652015672
2,35,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,36,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,37,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,38,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,443.95200087130047,340.0,1.3057411790332367
2,39,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,233.3860934576449,340.0,1.4568134500340462
2,40,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,41,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,42,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,367.7750011052895,340.0,1.0816911797214397
2,43,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,412.630433978953,340.0,1.213618923467509
2,44,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,45,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,46,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,279.2986465543056,340.0,1.2173349358994903
2,47,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,48,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,49,worm,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,0,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,391.0328543809029,340.0,1.1500966305320675
2,1,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,408.12673277505655,340.0,1.2003727434560487
2,2,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,3,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,4,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,5,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,797.9767428711128,340.0,2.3469904202091554
2,6,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,397.28210545021517,340.0,1.1684767807359269
2,7,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,8,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,9,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,10,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,452.72319893537093,340.0,1.3315388203981497
2,11,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,1792.5474747461349,340.0,5.27219845513569
2,12,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,402.17906242209324,340.0,1.1828795953590978
2,13,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,14,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,15,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,16,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,17,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,18,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,659.7539553864474,340.0,1.9404528099601395
2,19,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,20,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,21,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,396.62886396539545,340.0,1.166555482251163
2,22,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,23,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,24,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,25,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,26,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,724.2970805716603,340.0,2.1302855310931186
2,27,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,759.8431698275754,340.0,2.234832852434045
2,28,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,643.3324490047158,340.0,1.892154261778576
2,29,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,30,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,,340.0,
2,31,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,272.2962309439007,340.0,1.2486401255772352
2,32,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,426.2572306788475,340.0,1.253697737290728
2,33,fly,8,complex_i_block|complex_ii_block|gaba_potentiation|glucl_potentiation|k2p_potentiation|nachr_antagonism|nca_block|snare_cooperativity,339.841622178124,340.0,1.0004660342098797
