anesthetic,cmd_rate,dose_uM,organism,perm,qf,seed
trans_12_dichloroethylene,7.84875,100.0,worm,P1_ER,0.0,443
trans_12_dichloroethylene,7.65625,300.0,worm,P1_ER,0.0,42
trans_12_dichloroethylene,7.66125,300.0,worm,P1_ER,0.0,331
trans_12_dichloroethylene,7.52375,300.0,worm,P1_ER,0.0,137
trans_12_dichloroethylene,7.6875,300.0,worm,P1_ER,0.0,443
trans_12_dichloroethylene,7.75375,300.0,worm,P1_ER,0.0,219
trans_12_dichloroethylene,7.3725,1000.0,worm,P1_ER,0.0,42
trans_12_dichloroethylene,7.05375,1000.0,worm,P1_ER,0.0,137
trans_12_dichloroethylene,7.2375,1000.0,worm,P1_ER,0.0,219
trans_12_dichloroethylene,7.28625,1000.0,worm,P1_ER,0.0,331
trans_12_dichloroethylene,7.26,1000.0,worm,P1_ER,0.0,443
trans_12_dichloroethylene,6.36375,3000.0,worm,P1_ER,0.0,137
trans_12_dichloroethylene,6.5775,3000.0,worm,P1_ER,0.0,331
trans_12_dichloroethylene,6.36875,3000.0,worm,P1_ER,0.0,443
trans_12_dichloroethylene,5.935,10000.0,worm,P1_ER,0.0,42
trans_12_dichloroethylene,6.5125,3000.0,worm,P1_ER,0.0,42
trans_12_dichloroethylene,6.555,3000.0,worm,P1_ER,0.0,219
trans_12_dichloroethylene,5.81625,10000.0,worm,P1_ER,0.01,219
trans_12_dichloroethylene,5.84125,10000.0,worm,P1_ER,0.02,331
trans_12_dichloroethylene,5.5625,30000.0,worm,P1_ER,0.01,42
trans_12_dichloroethylene,5.8025,10000.0,worm,P1_ER,0.01,443
trans_12_dichloroethylene,5.25875,30000.0,worm,P1_ER,0.03,137
trans_12_dichloroethylene,5.625,10000.0,worm,P1_ER,0.0,137
hexafluoroethane,8.05625,30.0,worm,P1_ER,0.0,42
trans_12_dichloroethylene,5.4325,30000.0,worm,P1_ER,0.04,443
trans_12_dichloroethylene,5.4675,30000.0,worm,P1_ER,0.01,219
trans_12_dichloroethylene,5.35875,30000.0,worm,P1_ER,0.03,331
hexafluoroethane,7.7875,30.0,worm,P1_ER,0.0,137
hexafluoroethane,7.91625,30.0,worm,P1_ER,0.0,219
hexafluoroethane,7.88625,30.0,worm,P1_ER,0.0,331
hexafluoroethane,7.87875,100.0,worm,P1_ER,0.0,219
hexafluoroethane,7.725,100.0,worm,P1_ER,0.0,137
hexafluoroethane,7.755,100.0,worm,P1_ER,0.0,331
hexafluoroethane,7.73125,100.0,worm,P1_ER,0.0,443
hexafluoroethane,8.015,100.0,worm,P1_ER,0.0,42
hexafluoroethane,7.7775,300.0,worm,P1_ER,0.0,42
hexafluoroethane,7.8675,30.0,worm,P1_ER,0.0,443
hexafluoroethane,7.595,300.0,worm,P1_ER,0.0,137
hexafluoroethane,7.72875,300.0,worm,P1_ER,0.0,331
hexafluoroethane,7.78625,300.0,worm,P1_ER,0.0,219
hexafluoroethane,7.66375,300.0,worm,P1_ER,0.0,443
hexafluoroethane,7.255,1000.0,worm,P1_ER,0.0,137
hexafluoroethane,7.55875,1000.0,worm,P1_ER,0.0,331
hexafluoroethane,7.4425,1000.0,worm,P1_ER,0.0,443
hexafluoroethane,7.5575,1000.0,worm,P1_ER,0.0,219
hexafluoroethane,7.56375,1000.0,worm,P1_ER,0.0,42
hexafluoroethane,6.76125,3000.0,worm,P1_ER,0.0,42
hexafluoroethane,6.74375,3000.0,worm,P1_ER,0.01,137
hexafluoroethane,6.995,3000.0,worm,P1_ER,0.0,219
hexafluoroethane,7.075,3000.0,worm,P1_ER,0.0,331
hexafluoroethane,6.24375,10000.0,worm,P1_ER,0.0,42
hexafluoroethane,5.83625,10000.0,worm,P1_ER,0.01,137
hexafluoroethane,6.7275,3000.0,worm,P1_ER,0.0,443
hexafluoroethane,6.07625,10000.0,worm,P1_ER,0.0,331
hexafluoroethane,6.05,10000.0,worm,P1_ER,0.0,443
hexafluoroethane,5.725,30000.0,worm,P1_ER,0.01,42
hexafluoroethane,5.3475,30000.0,worm,P1_ER,0.01,137
hexafluoroethane,6.1175,10000.0,worm,P1_ER,0.0,219
hexafluoroethane,5.6225,30000.0,worm,P1_ER,0.01,219
hexafluoroethane,5.5275,30000.0,worm,P1_ER,0.03,331
hexafluoroethane,5.445,30000.0,worm,P1_ER,0.02,443
halothane,1.7156838905775076,10.0,fly,P1_ER,0.0,42
halothane,1.6993617021276592,10.0,fly,P1_ER,0.0,219
halothane,1.707446808510638,10.0,fly,P1_ER,0.0,331
halothane,1.5890577507598784,30.0,fly,P1_ER,0.0,137
halothane,1.696808510638298,10.0,fly,P1_ER,0.0,137
halothane,1.606382978723404,30.0,fly,P1_ER,0.0,42
halothane,1.5937386018237079,30.0,fly,P1_ER,0.0,219
halothane,1.7014589665653492,10.0,fly,P1_ER,0.0,443
halothane,1.60161094224924,30.0,fly,P1_ER,0.0,331
halothane,1.596960486322188,30.0,fly,P1_ER,0.0,443
halothane,1.3557446808510638,100.0,fly,P1_ER,0.0,42
