mode,scenario,seed,duration_s,FWD,REV,OMG,PIR,QUI,mean_rate_hz,max_rate_hz,n_silent,n_above_100hz,ris_rate_hz,error
M2-pure,spontaneous,42,30.0,0.2866666666666667,0.15,0.03333333333333333,0.0,0.53,10.169,48.733333333333334,0,0,0.8333333333333334,
M2-pure,spontaneous,43,30.0,0.23166666666666666,0.36333333333333334,0.0,0.10166666666666667,0.30333333333333334,10.182777777777778,48.333333333333336,1,0,1.0666666666666667,
M2-pure,spontaneous,44,30.0,0.295,0.37166666666666665,0.03333333333333333,0.1,0.2,9.946333333333333,47.1,1,0,1.2333333333333334,
M2-pure,spontaneous,45,30.0,0.2683333333333333,0.42833333333333334,0.0,0.10166666666666667,0.20166666666666666,10.295777777777777,49.1,0,0,1.2,
M2-pure,spontaneous,46,30.0,0.24333333333333335,0.37666666666666665,0.03333333333333333,0.1,0.24666666666666667,10.494666666666665,50.0,0,0,1.0666666666666667,
M2-pure,osmotic_shock,42,30.0,0.15833333333333333,0.09833333333333333,0.03333333333333333,0.2,0.51,27.122111111111114,142.26666666666668,1,32,0.5666666666666667,
M2-pure,osmotic_shock,43,30.0,0.10666666666666667,0.05333333333333334,0.0,0.6233333333333333,0.21666666666666667,27.62011111111111,144.4,2,32,0.7666666666666667,
M2-pure,osmotic_shock,44,30.0,0.12166666666666667,0.15833333333333333,0.03333333333333333,0.4,0.2866666666666667,27.70588888888889,145.96666666666667,2,32,0.5333333333333333,
M2-pure,osmotic_shock,45,30.0,0.17833333333333334,0.09333333333333334,0.0,0.38333333333333336,0.345,27.693999999999996,145.93333333333334,2,32,0.4666666666666667,
M2-pure,osmotic_shock,46,30.0,0.12,0.07166666666666667,0.03333333333333333,0.43833333333333335,0.33666666666666667,27.804222222222222,145.76666666666668,0,32,0.6,
M2-pure,food,42,30.0,0.2733333333333333,0.37833333333333335,0.03333333333333333,0.18166666666666667,0.13333333333333333,14.605888888888888,67.3,2,0,0.3,
M2-pure,food,43,30.0,0.185,0.17833333333333334,0.0,0.20166666666666666,0.435,14.063444444444443,65.63333333333334,1,0,0.6333333333333333,
M2-pure,food,44,30.0,0.22,0.28,0.03333333333333333,0.1,0.36666666666666664,14.293111111111111,66.53333333333333,1,0,0.4666666666666667,
M2-pure,food,45,30.0,0.185,0.23666666666666666,0.0,0.3016666666666667,0.27666666666666667,14.601888888888892,67.86666666666666,1,0,0.5,
M2-pure,food,46,30.0,0.285,0.3883333333333333,0.03333333333333333,0.0,0.29333333333333333,14.569222222222221,66.66666666666667,1,0,0.4,
M2-pure,chemotaxis,42,30.0,0.22,0.31666666666666665,0.03333333333333333,0.08166666666666667,0.34833333333333333,9.804666666666668,46.266666666666666,1,0,1.0666666666666667,
M2-pure,chemotaxis,43,30.0,0.20333333333333334,0.6083333333333333,0.0,0.12166666666666667,0.06666666666666667,9.951666666666666,46.333333333333336,0,0,0.9666666666666667,
M2-pure,chemotaxis,44,30.0,0.23,0.19333333333333333,0.03333333333333333,0.3,0.24333333333333335,9.879888888888887,46.86666666666667,1,0,0.8,
M2-pure,chemotaxis,45,30.0,0.24,0.24666666666666667,0.0,0.3433333333333333,0.17,9.862,46.4,1,0,1.1666666666666667,
M2-pure,chemotaxis,46,30.0,0.24666666666666667,0.37166666666666665,0.03333333333333333,0.20166666666666666,0.14666666666666667,10.444555555555556,49.266666666666666,1,0,0.9,
