mode,scenario,seed,duration_s,FWD,REV,OMG,PIR,QUI,mean_rate_hz,max_rate_hz,n_silent,n_above_100hz,ris_rate_hz,error
M1,spontaneous,42,30.0,0.09,0.8083333333333333,0.03333333333333333,0.0,0.06833333333333333,18.749000000000002,60.333333333333336,0,0,30.8,
M1,spontaneous,43,30.0,0.04,0.8583333333333333,0.0,0.10166666666666667,0.0,18.889777777777777,61.2,0,0,31.733333333333334,
M1,spontaneous,44,30.0,0.06333333333333334,0.6316666666666667,0.03333333333333333,0.1,0.17166666666666666,18.198999999999998,58.8,0,0,30.266666666666666,
M1,spontaneous,45,30.0,0.065,0.765,0.0,0.10166666666666667,0.06833333333333333,18.49366666666667,59.8,0,0,31.1,
M1,spontaneous,46,30.0,0.09166666666666666,0.74,0.0,0.1,0.06833333333333333,18.167,58.7,0,0,29.4,
M1,osmotic_shock,42,30.0,0.07166666666666667,0.6683333333333333,0.06666666666666667,0.0,0.19333333333333333,52.67322222222222,166.06666666666666,0,69,72.26666666666667,
M1,osmotic_shock,43,30.0,0.041666666666666664,0.8566666666666667,0.0,0.10166666666666667,0.0,52.69166666666667,164.4,0,69,72.76666666666667,
M1,osmotic_shock,44,30.0,0.045,0.5833333333333334,0.03333333333333333,0.1,0.23833333333333334,52.62711111111111,165.5,0,69,73.06666666666666,
M1,osmotic_shock,45,30.0,0.058333333333333334,0.5383333333333333,0.03333333333333333,0.10166666666666667,0.2683333333333333,53.419000000000004,166.86666666666667,2,70,74.2,
M1,osmotic_shock,46,30.0,0.08666666666666667,0.645,0.0,0.0,0.2683333333333333,52.39977777777778,165.43333333333334,0,68,71.93333333333334,
M1,food,42,30.0,0.056666666666666664,0.8416666666666667,0.03333333333333333,0.0,0.06833333333333333,25.659222222222226,81.73333333333333,1,0,41.7,
M1,food,43,30.0,0.04,0.8583333333333333,0.0,0.10166666666666667,0.0,25.669333333333334,81.06666666666666,1,0,42.5,
M1,food,44,30.0,0.03166666666666667,0.85,0.03333333333333333,0.0,0.085,25.805444444444444,82.9,0,0,43.4,
M1,food,45,30.0,0.03,0.8683333333333333,0.0,0.10166666666666667,0.0,25.94711111111111,83.46666666666667,0,0,42.63333333333333,
M1,food,46,30.0,0.07333333333333333,0.7266666666666667,0.0,0.0,0.2,25.971999999999998,83.23333333333333,0,0,42.4,
M1,chemotaxis,42,30.0,0.03166666666666667,0.8666666666666667,0.03333333333333333,0.0,0.06833333333333333,29.452777777777772,90.4,1,0,48.93333333333333,
M1,chemotaxis,43,30.0,0.06166666666666667,0.805,0.03333333333333333,0.1,0.0,26.985444444444443,82.33333333333333,0,0,45.333333333333336,
M1,chemotaxis,44,30.0,0.06333333333333334,0.6016666666666667,0.03333333333333333,0.1,0.20166666666666666,27.017333333333337,83.1,0,0,45.166666666666664,
M1,chemotaxis,45,30.0,0.04,0.7366666666666667,0.0,0.22333333333333333,0.0,27.851666666666667,84.83333333333333,0,0,46.7,
M1,chemotaxis,46,30.0,0.043333333333333335,0.7866666666666666,0.03333333333333333,0.0,0.13666666666666666,27.924666666666667,84.83333333333333,0,0,46.06666666666667,
