scenario,seed,bout_idx,bout_start_s,bout_dur_s,ref_worm,ref_idx,segment,rho
spontaneous,42,0,0.0,0.55,4,4,14,0.4851
spontaneous,42,0,0.0,0.55,4,4,15,-0.4951
spontaneous,42,0,0.0,0.55,4,4,16,0.4669
spontaneous,42,0,0.0,0.55,4,4,17,-0.2384
spontaneous,42,0,0.0,0.55,4,4,18,-0.139
spontaneous,42,0,0.0,0.55,4,4,19,-0.139
spontaneous,43,0,0.0,0.55,2,0,0,0.281
spontaneous,43,0,0.0,0.55,2,0,1,0.281
spontaneous,43,0,0.0,0.55,2,0,2,0.1352
spontaneous,43,0,0.0,0.55,2,0,3,-0.4523
spontaneous,43,0,0.0,0.55,2,0,4,0.5237
spontaneous,43,0,0.0,0.55,2,0,5,-0.6786
spontaneous,43,0,0.0,0.55,2,0,6,-0.295
spontaneous,43,0,0.0,0.55,2,0,7,-0.0102
spontaneous,43,0,0.0,0.55,2,0,8,0.0673
spontaneous,43,0,0.0,0.55,2,0,9,0.3019
spontaneous,43,0,0.0,0.55,2,0,10,-0.3102
spontaneous,43,0,0.0,0.55,2,0,11,-0.7702
spontaneous,43,0,0.0,0.55,2,0,12,-0.1571
spontaneous,43,0,0.0,0.55,2,0,13,0.5755
spontaneous,43,0,0.0,0.55,2,0,14,0.5416
spontaneous,43,0,0.0,0.55,2,0,15,0.2697
spontaneous,43,0,0.0,0.55,2,0,16,0.1137
spontaneous,43,0,0.0,0.55,2,0,17,-0.4638
spontaneous,43,0,0.0,0.55,2,0,18,-0.3085
spontaneous,43,0,0.0,0.55,2,0,19,-0.3085
spontaneous,43,0,0.0,0.55,3,1,0,0.1916
spontaneous,43,0,0.0,0.55,3,1,1,0.1916
spontaneous,43,0,0.0,0.55,3,1,2,-0.773
spontaneous,43,0,0.0,0.55,3,1,3,0.2309
spontaneous,43,0,0.0,0.55,3,1,4,0.001
spontaneous,43,0,0.0,0.55,3,1,5,-0.348
spontaneous,43,0,0.0,0.55,3,1,6,0.0721
spontaneous,43,0,0.0,0.55,3,1,7,-0.0459
spontaneous,43,0,0.0,0.55,3,1,8,0.4251
spontaneous,43,0,0.0,0.55,3,1,9,-0.6511
spontaneous,43,0,0.0,0.55,3,1,10,0.0179
spontaneous,43,0,0.0,0.55,3,1,11,-0.303
spontaneous,43,0,0.0,0.55,3,1,12,0.5492
spontaneous,43,0,0.0,0.55,3,1,13,-0.6527
spontaneous,43,0,0.0,0.55,3,1,14,0.1836
spontaneous,43,0,0.0,0.55,3,1,15,0.3209
spontaneous,43,0,0.0,0.55,3,1,16,-0.4253
spontaneous,43,0,0.0,0.55,3,1,17,-0.7806
spontaneous,43,0,0.0,0.55,3,1,18,-0.5579
spontaneous,43,0,0.0,0.55,3,1,19,-0.5579
spontaneous,43,0,0.0,0.55,8,2,0,0.506
spontaneous,43,0,0.0,0.55,8,2,1,0.506
spontaneous,43,0,0.0,0.55,8,2,2,0.3957
spontaneous,43,0,0.0,0.55,8,2,3,0.328
spontaneous,43,0,0.0,0.55,8,2,4,0.0179
spontaneous,43,0,0.0,0.55,8,2,5,-0.006
spontaneous,43,0,0.0,0.55,8,2,6,-0.3456
spontaneous,43,0,0.0,0.55,8,2,7,0.3274
spontaneous,43,0,0.0,0.55,8,2,8,0.6442
spontaneous,43,0,0.0,0.55,8,2,9,-0.6728
spontaneous,43,0,0.0,0.55,8,2,10,0.3195
spontaneous,43,0,0.0,0.55,8,2,11,-0.2099
spontaneous,43,0,0.0,0.55,8,2,12,0.0982
spontaneous,43,0,0.0,0.55,8,2,13,0.261
spontaneous,43,0,0.0,0.55,8,2,14,-0.2594
spontaneous,43,0,0.0,0.55,8,2,15,0.1815
spontaneous,43,0,0.0,0.55,8,2,16,-0.1822
spontaneous,43,0,0.0,0.55,8,2,17,-0.0142
spontaneous,43,0,0.0,0.55,8,2,18,0.1391
spontaneous,43,0,0.0,0.55,8,2,19,0.1391
spontaneous,43,0,0.0,0.55,6,3,0,-0.6196
spontaneous,43,0,0.0,0.55,6,3,1,-0.6196
spontaneous,43,0,0.0,0.55,6,3,2,-0.6248
