Task D1: 9 modulators × 2 conditions × 3 seeds = 54 runs × 60.0s
Modulators: ['FLP-11', 'FLP-1', 'FLP-2', 'NLP-12', 'PDF-1', '5HT', 'DA', 'TA', 'OA']
Saving traces to /mnt/ssd4tb/Desktop/website/personalwebsite/scripts/brain/artifacts/overnight_20260421/task1_d1

  [43/54] TA       CONTROL         seed=42 | QUI=0.12 REV=0.79 | 179s wall [control] | ETA 33 min
  [44/54] TA       CONTROL         seed=43 | QUI=0.10 REV=0.64 | 180s wall [control] | ETA 30 min
  [45/54] TA       CONTROL         seed=44 | QUI=0.12 REV=0.70 | 180s wall [control] | ETA 27 min
  [46/54] TA       RELEASER_ABLATE seed=42 | QUI=0.07 REV=0.84 | 182s wall [ablated ['RIML', 'RIMR']] | ETA 24 min
  [47/54] TA       RELEASER_ABLATE seed=43 | QUI=0.22 REV=0.63 | 181s wall [ablated ['RIML', 'RIMR']] | ETA 21 min
  [48/54] TA       RELEASER_ABLATE seed=44 | QUI=0.09 REV=0.74 | 182s wall [ablated ['RIML', 'RIMR']] | ETA 18 min
  [49/54] OA       CONTROL         seed=42 | QUI=0.12 REV=0.79 | 180s wall [control] | ETA 15 min
  [50/54] OA       CONTROL         seed=43 | QUI=0.10 REV=0.64 | 181s wall [control] | ETA 12 min
  [51/54] OA       CONTROL         seed=44 | QUI=0.12 REV=0.70 | 180s wall [control] | ETA 9 min
  [52/54] OA       RELEASER_ABLATE seed=42 | QUI=0.07 REV=0.84 | 181s wall [ablated ['RICL', 'RICR']] | ETA 6 min
  [53/54] OA       RELEASER_ABLATE seed=43 | QUI=0.22 REV=0.58 | 182s wall [ablated ['RICL', 'RICR']] | ETA 3 min
  [54/54] OA       RELEASER_ABLATE seed=44 | QUI=0.09 REV=0.74 | 181s wall [ablated ['RICL', 'RICR']] | ETA 0 min

Total: 163.2 min. Traces in /mnt/ssd4tb/Desktop/website/personalwebsite/scripts/brain/artifacts/overnight_20260421/task1_d1
